wine_id,user_id,score
1,Magnus Scherr,3.5
1,95uey,3.0
1,Anna Jo,3.5
2,Felix Van der Walle,3.5
3,Felix Van der Walle,3.5
4,Kamil,3.5
4,Ian Bryant,3.0
4,Thomas G,4.0
4,David Van laer,3.5
4,Eric V,3.0
4,Jean-Claude Pichon,3.5
4,Mads Edelvang-Pejrup,3.0
4,Jbj,3.5
4,Julian,3.5
4,Cocardinho,3.0
4,Sygmound,3.5
4,Emanuele M,2.0
4,Snop,2.5
4,Fabien Oviste,3.0
4,G M,2.0
4,Павел Акинин SWC,2.5
4,Thomas Nielsen,2.5
4,C G,3.0
4,Brian Jensen,2.0
5,Kamil,3.5
5,Ian Bryant,3.0
5,Thomas G,4.0
5,David Van laer,3.5
5,Eric V,3.0
5,Jean-Claude Pichon,3.5
5,Mads Edelvang-Pejrup,3.0
5,Jbj,3.5
5,Julian,3.5
5,Cocardinho,3.0
5,Sygmound,3.5
5,Emanuele M,2.0
5,Snop,2.5
5,Fabien Oviste,3.0
5,G M,2.0
5,Павел Акинин SWC,2.5
5,Thomas Nielsen,2.5
5,C G,3.0
5,Brian Jensen,2.0
6,AgElvis,4.5
6,Jerry Lee,4.0
6,""" Odedi """,4.0
6,Nicole Eacuello,3.5
6,Nono Sierra,4.0
6,JamieGriffWine,4.0
6,Philippe Le Bourhis,4.0
6,Don Larson,5.0
6,Wesley Van Prooijen,4.5
7,""" Odedi """,4.0
7,Nono Sierra,4.0
7,AgElvis,4.0
7,Mark Gudgel,4.0
7,Cass Rafsol,4.0
7,Michael Walling,4.5
7,Scott McNamara,4.0
7,Johnny Wall,4.0
7,David Plummer,5.0
7,Andy R,3.0
7,Wesley Van Prooijen,4.5
8,Mark Gudgel,4.5
8,""" Odedi """,4.0
8,Artem Gulyaev,4.5
8,AgElvis,4.5
8,Jamaar,3.5
8,J L,4.5
8,Andrew Bell,4.0
9,CB Stevenson,4.0
9,Southern Wine Boy,5.0
9,Mark Gudgel,4.5
9,Dr. Matthew Horkey,4.5
9,Scott McNamara,4.5
9,McDonald Ray,4.5
9,Juan Menendez,4.5
9,Ali Rivera,4.5
9,Rick Halprin,4.5
9,Lucas Boyd,4.5
9,""" Odedi """,4.0
9,John Ryan,5.0
9,Adam Nicholson,4.5
9,Jeff Meyer,4.5
9,Diana Soto,4.5
9,Kevin Conley,4.5
9,Mike Lewis,4.5
9,Michael Walling,4.5
9,David Plummer,4.5
9,Mark Pharo,4.5
9,Andy R,4.5
9,Jeff,5.0
9,Ken,4.0
9,Brad Plant,4.0
9,AgElvis,4.0
9,Richard Pardoe,4.0
9,Chris Gartin,5.0
9,WinePairingLovers.com,4.0
9,Tony DiLorenzo,4.0
9,Eddie Graveline,4.0
9,Min Kim,4.0
9,David Leney,4.0
9,Nono Sierra,4.0
9,Jeff Li,4.0
9,M N,4.0
9,JD Gus,4.0
9,Wendell Barner,3.0
9,Peter V,5.0
9,David Hall,4.0
9,毛毛 老顽童,4.5
9,Joe Thigpen,4.5
9,Victor Araneda D,5.0
9,James McGraw,4.0
9,Marta Garraus Young,4.5
9,Steve,4.0
10,The Coyote,4.0
10,winenot519,3.5
10,Stuart & Carrie Ridge,4.0
11,CB Stevenson,4.0
11,Southern Wine Boy,5.0
11,Mark Gudgel,4.5
11,Dr. Matthew Horkey,4.5
11,Scott McNamara,4.5
11,McDonald Ray,4.5
11,Juan Menendez,4.5
11,Ali Rivera,4.5
11,Rick Halprin,4.5
11,Lucas Boyd,4.5
11,""" Odedi """,4.0
11,John Ryan,5.0
11,Adam Nicholson,4.5
11,Jeff Meyer,4.5
11,Diana Soto,4.5
11,Kevin Conley,4.5
11,Mike Lewis,4.5
11,Michael Walling,4.5
11,David Plummer,4.5
11,Mark Pharo,4.5
11,Andy R,4.5
11,Jeff,5.0
11,Ken,4.0
11,Brad Plant,4.0
11,AgElvis,4.0
11,Richard Pardoe,4.0
11,Chris Gartin,5.0
11,WinePairingLovers.com,4.0
11,Tony DiLorenzo,4.0
11,Eddie Graveline,4.0
11,Min Kim,4.0
11,David Leney,4.0
11,Nono Sierra,4.0
11,Jeff Li,4.0
11,M N,4.0
11,JD Gus,4.0
11,Wendell Barner,3.0
11,Peter V,5.0
11,David Hall,4.0
11,毛毛 老顽童,4.5
11,Joe Thigpen,4.5
11,Victor Araneda D,5.0
11,James McGraw,4.0
11,Marta Garraus Young,4.5
11,Steve,4.0
12,Rhiannon Michelson,4.0
12,Matthew Doyle,4.0
12,Vince Veritas,4.0
12,Guns,4.0
12,DMaloney,4.0
12,pamplemousse,4.0
12,Sarah Simon,3.5
12,Renato Cardoso,3.5
12,Fernando Garcia,3.5
12,California Wine Society LT “Crazy Train” Titus,3.5
12,Stephanie Diamond,3.5
12,Jeff Coseo,3.5
12,David Snyder,4.0
12,Lucy da Boosie,3.5
12,Neil Patel,3.5
12,G C,4.5
12,Andy Westerheim,2.0
12,Emily R,3.0
12,A W,3.5
12,Vivino user,3.0
12,Casey B,3.0
12,Russ Lucier,4.0
12,Timothy Hall,4.0
12,Donald Moro,4.0
12,Rusty Gates,4.0
12,Gustavo Mastroianni,4.0
12,Porsgaard,4.0
12,Dave Strand,4.0
12,Murray Langgard,4.0
12,Keith Dagen,4.0
12,Hugo,4.0
12,Cheryl J,4.0
12,Stefan Van der Walt,4.0
